Name,Kind,ErrorLike,TargetDomain,Status,SourceReference
"ERROR_022_MAILSEND_DONTHAVE_SENDDATE","SELECT","true","documents-email","needs-port","docs/queries-sql.md:L659"
"ERROR_023_GK4350_KONTOTROSKANULL","SELECT","true","ledger","needs-port","docs/queries-sql.md:L668"
"ERROR_023_RACUN_STORO_PROKNJIZEN_PLACEN","SELECT","true","ledger","needs-port","docs/queries-sql.md:L676"
"ERROR_024_RACUN_STORO_PROKNJIZEN_PLACEN","SELECT","true","other","needs-port","docs/queries-sql.md:L684"
"ERROR_027_GK_GRP_BY_NALOG","SELECT","true","ledger","needs-port","docs/queries-sql.md:L694"
"ERROR_027_GK_GRP_BY_NALOG_SUB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L703"
"ERROR_030_RACUNDOB-BEZGK-NEMA-SZ-ILI-NEMA-DOB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L711"
"ERROR_031_RACUNDOB-BEZGK-OBRISANA-SZ","SELECT","true","ledger","needs-port","docs/queries-sql.md:L719"
"ERROR_032_RACUNDOB-NIJE_KNJIZEN-NEMA-IDDOB-U-DOBAVLJACIMA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L727"
"ERROR_033_RDOB_GRP","SELECT","true","ledger","needs-port","docs/queries-sql.md:L735"
"ERROR_033_SUB1_RDOB_GRP","SELECT","true","ledger","needs-port","docs/queries-sql.md:L744"
"ERROR_041_RACUNDOB-GK-OBRISANA-SZ","SELECT","true","ledger","needs-port","docs/queries-sql.md:L755"
"ERROR_042_RACUNDOB-GK-POGRRESAN-DOB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L763"
"ERROR_043_GK_SIFRAKONTA_LNKKUPAC","SELECT","true","ledger","needs-port","docs/queries-sql.md:L771"
"ERROR_060_RACUNI-BEZ-IDK-ILI-SZID-ILI-GRID","SELECT","true","billing","needs-port","docs/queries-sql.md:L779"
"ERROR_062_RACUNI_RACUNISTAVKE_GRID_RAZLICITO","SELECT","true","billing","needs-port","docs/queries-sql.md:L787"
"ERROR_063_RACUNI_RACUNISTAVKE_SZID_RAZLICITO","SELECT","true","billing","needs-port","docs/queries-sql.md:L795"
"ERROR_064_RACUNI_RACUNISTAVKE_IDK_RAZLICITO","SELECT","true","suppliers","needs-port","docs/queries-sql.md:L803"
"ERROR_065_RACUNI_GK_SZID_RAZLICITO","SELECT","true","ledger","needs-port","docs/queries-sql.md:L812"
"ERROR_066_RACUNI_GK_IDK_RAZLICITO","SELECT","true","banking","needs-port","docs/queries-sql.md:L820"
"ERROR_070_GR_NEMA_PODATAKA_ADELL","SELECT","true","billing","needs-port","docs/queries-sql.md:L828"
"ERROR_070_GR_NEMA_PODATAKA_ADELL_EXECUTE","DELETE","true","billing","needs-port","docs/queries-sql.md:L836"
"ERROR_071_RACUNI-RACUNISTAVKE-BEZ-RACUNA","SELECT","true","billing","needs-port","docs/queries-sql.md:L844"
"ERROR_071_RACUNI-RACUNISTAVKE-BEZ-RACUNA_EXECUTE","DELETE","true","billing","needs-port","docs/queries-sql.md:L852"
"ERROR_075_GK-RDOB-GRPSK","SELECT","true","ledger","needs-port","docs/queries-sql.md:L860"
"ERROR_081_RACUNI_SUME","SELECT","true","ledger","needs-port","docs/queries-sql.md:L869"
"ERROR_082_GK_2040","SELECT","true","ledger","needs-port","docs/queries-sql.md:L878"
"ERROR_082_GK_4350","SELECT","true","ledger","needs-port","docs/queries-sql.md:L887"
"ERROR_082_GK_4350_RDOB_KN","SELECT","true","banking","needs-port","docs/queries-sql.md:L896"
"ERROR_082_GK_4900","SELECT","true","ledger","needs-port","docs/queries-sql.md:L905"
"ERROR_082_GK_5590","SELECT","true","ledger","needs-port","docs/queries-sql.md:L914"
"ERROR_083_GRRAC-STAVKE-DOBRAC","SELECT","true","ledger","needs-port","docs/queries-sql.md:L923"
"ERROR_084_UPOREDO-083-082","SELECT","true","suppliers","needs-port","docs/queries-sql.md:L932"
"ERROR_085_SUME_GRUPARACUNA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L939"
"ERROR_101_KONTOTROSKA_NEPOSTOJI","SELECT","true","ledger","needs-port","docs/queries-sql.md:L946"
"ERROR_102_KONTOTROSKA_NEMAPARENT","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L954"
"ERROR_103_2040_IZVOD_NEMASTAVKUIZVODA","SELECT","true","banking","needs-port","docs/queries-sql.md:L962"
"ERROR_104_NALOG_RAVNOTEZA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L970"
"ERROR_901_A_NALOG_VISE_IZVODA","SELECT","true","banking","needs-port","docs/queries-sql.md:L979"
"ERROR_901_AB_NALOG_VISE_IZVODA_GK_STAVKI","SELECT","true","ledger","needs-port","docs/queries-sql.md:L988"
"ERROR_901_AC_NALOG_VISE_IZVODA_IZVODSTAVKI","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L996"
"ERROR_902_A_GK_STAVKA_BEZ_DATUMA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L1004"
"ERROR-IZVOD","SELECT","true","banking","needs-port","docs/queries-sql.md:L1012"
"ErrorIzvod-SumaNovStanjePrethodno-GK2410","SELECT","true","banking","needs-port","docs/queries-sql.md:L1021"
