Name,Kind,ErrorLike,TargetDomain,Status,SourceReference
"BenefitRacun_2408","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L240"
"BenefitRacunStavkaArhive_2402_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L248"
"BenefitRacunStavkaArhive_2403_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L256"
"BenefitRacunStavkaArhive_2404_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L264"
"BenefitRacunStavkaArhive_2405_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L272"
"BenefitRacunStavkaArhive_2406_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L280"
"BenefitRacunStavkaArhive_2407_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L288"
"BenefitRacunStavkaArhive_2408_Append","INSERT","false","benefits-interest","needs-port","docs/queries-sql.md:L296"
"BenefitRacunStavkeArhive_2402","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L304"
"BenefitRacunStavkeArhive_2403","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L312"
"BenefitRacunStavkeArhive_2404","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L318"
"BenefitRacunStavkeArhive_2405","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L324"
"BenefitRacunStavkeArhive_2406","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L330"
"BenefitRacunStavkeArhive_2407","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L338"
"BenefitRacunStavkeArhive_2408","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L346"
"BenefitRacunStavkeArhive_2408_update","UPDATE","false","benefits-interest","needs-port","docs/queries-sql.md:L354"
"BenefitUpdateRacun","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L361"
"Copy Of Query308","SELECT","false","billing","needs-port","docs/queries-sql.md:L369"
"Copy Of Query85","SELECT","false","ledger","needs-port","docs/queries-sql.md:L377"
"dell_KILLSPCSTAVKE","DELETE","false","billing","needs-port","docs/queries-sql.md:L386"
"Dobavljaci_Racun_List","SELECT","false","ledger","needs-port","docs/queries-sql.md:L394"
"DOBAVLJACI_RACUNI_SORT","SELECT","false","suppliers","needs-port","docs/queries-sql.md:L402"
"DPO_FIX_TS1_K2040","UPDATE","false","ledger","needs-port","docs/queries-sql.md:L410"
"eMail_Partner","SELECT","false","other","needs-port","docs/queries-sql.md:L417"
"eMail_Partner_list","SELECT","false","master-data","needs-port","docs/queries-sql.md:L425"
"EmailoviPlot24","SELECT","false","master-data","needs-port","docs/queries-sql.md:L433"
"ERROR_001-SUMA-STAVKE-IZVODA-NIJE-SUMA-GK","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L441"
"ERROR_002-STAVKE U GK SA POGRESNIM SKUPSTINAMA KUPCA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L451"
"ERROR_003-STAVKE IZVODA NA CEKANJU","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L459"
"ERROR_004-NEPOSTOJI-KUPAC-PREMA-GK","SELECT","true","banking","needs-port","docs/queries-sql.md:L468"
"ERROR_005-KUPAC-BEZ-NEKRETNINE","SELECT","true","master-data","blocked-by-missing-source","docs/queries-sql.md:L476"
"ERROR_006-IZVODISTAVKE-BEZ-IZVODA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L484"
"ERROR_007-IZVODI-KOJI-IMAJU-R-A-NISU-R","SELECT","true","banking","needs-port","docs/queries-sql.md:L492"
"ERROR_008-IZVODI-SUMASTAVKI-KONTROLA","SELECT","true","banking","needs-port","docs/queries-sql.md:L501"
"ERROR_009_IZVOD-NEPOSTOJECA-SZ","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L510"
"ERROR_009-IZVOD-STAVKE-U-GK-POGRESNA-SZ-KORISNIKA","SELECT","true","banking","needs-port","docs/queries-sql.md:L518"
"ERROR_010-STAVKE-GK-KORISNIKA-BEZ-SK","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L526"
"ERROR_011-IZVOD-STAVKE-POGRESNA-SZ-U-GK","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L534"
"ERROR_012-IZVOD-IZVODSTAVKE-POGRESNA-SZ","SELECT","true","banking","needs-port","docs/queries-sql.md:L542"
"ERROR_013-IZVODSTAVKE-GK-RAZLICIT-ID-K","SELECT","true","banking","needs-port","docs/queries-sql.md:L550"
"ERROR_014-IZVOD-NALOG-SUMA-NIJE-NULA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L558"
"ERROR_014-IZVOD-UPOREDO_2410","SELECT","true","banking","needs-port","docs/queries-sql.md:L568"
"ERROR_015_GK_POVEZIVANJE_SUBKONTO_RAZLIKA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L578"
"ERROR_016_GK_204X_DPO_DATUM_NEMA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L589"
"ERROR_016_GK_204X_DPO_DATUM_NEMA_GROUP","SELECT","true","master-data","needs-port","docs/queries-sql.md:L597"
"ERROR_017_GK_204X_POVEZIVANJE_SUBKONTA","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L606"
"ERROR_018_GK_PretplateIzvodi","SELECT","true","banking","needs-port","docs/queries-sql.md:L620"
"ERROR_019-IZVOD-2410-ODOBRENJE-ZADUZENJE","SELECT","true","banking","needs-port","docs/queries-sql.md:L629"
"ERROR_020_OBJEKAT-SZ-KORISNIK-SZ","SELECT","true","master-data","blocked-by-missing-source","docs/queries-sql.md:L637"
"ERROR_021_RACUNI-DATUMPROMETA-DATUMVALUTE-RACUNA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L645"
"ERROR_021_RACUNI-DATUMPROMETA-DATUMVALUTE-RACUNA-FIX","UPDATE","true","billing","needs-port","docs/queries-sql.md:L653"
"ERROR_022_MAILSEND_DONTHAVE_SENDDATE","SELECT","true","documents-email","needs-port","docs/queries-sql.md:L659"
"ERROR_023_GK4350_KONTOTROSKANULL","SELECT","true","ledger","needs-port","docs/queries-sql.md:L668"
"ERROR_023_RACUN_STORO_PROKNJIZEN_PLACEN","SELECT","true","ledger","needs-port","docs/queries-sql.md:L676"
"ERROR_024_RACUN_STORO_PROKNJIZEN_PLACEN","SELECT","true","other","needs-port","docs/queries-sql.md:L684"
"ERROR_027_GK_GRP_BY_NALOG","SELECT","true","ledger","needs-port","docs/queries-sql.md:L694"
"ERROR_027_GK_GRP_BY_NALOG_SUB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L703"
"ERROR_030_RACUNDOB-BEZGK-NEMA-SZ-ILI-NEMA-DOB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L711"
"ERROR_031_RACUNDOB-BEZGK-OBRISANA-SZ","SELECT","true","ledger","needs-port","docs/queries-sql.md:L719"
"ERROR_032_RACUNDOB-NIJE_KNJIZEN-NEMA-IDDOB-U-DOBAVLJACIMA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L727"
"ERROR_033_RDOB_GRP","SELECT","true","ledger","needs-port","docs/queries-sql.md:L735"
"ERROR_033_SUB1_RDOB_GRP","SELECT","true","ledger","needs-port","docs/queries-sql.md:L744"
"ERROR_041_RACUNDOB-GK-OBRISANA-SZ","SELECT","true","ledger","needs-port","docs/queries-sql.md:L755"
"ERROR_042_RACUNDOB-GK-POGRRESAN-DOB","SELECT","true","ledger","needs-port","docs/queries-sql.md:L763"
"ERROR_043_GK_SIFRAKONTA_LNKKUPAC","SELECT","true","ledger","needs-port","docs/queries-sql.md:L771"
"ERROR_060_RACUNI-BEZ-IDK-ILI-SZID-ILI-GRID","SELECT","true","billing","needs-port","docs/queries-sql.md:L779"
"ERROR_062_RACUNI_RACUNISTAVKE_GRID_RAZLICITO","SELECT","true","billing","needs-port","docs/queries-sql.md:L787"
"ERROR_063_RACUNI_RACUNISTAVKE_SZID_RAZLICITO","SELECT","true","billing","needs-port","docs/queries-sql.md:L795"
"ERROR_064_RACUNI_RACUNISTAVKE_IDK_RAZLICITO","SELECT","true","suppliers","needs-port","docs/queries-sql.md:L803"
"ERROR_065_RACUNI_GK_SZID_RAZLICITO","SELECT","true","ledger","needs-port","docs/queries-sql.md:L812"
"ERROR_066_RACUNI_GK_IDK_RAZLICITO","SELECT","true","banking","needs-port","docs/queries-sql.md:L820"
"ERROR_070_GR_NEMA_PODATAKA_ADELL","SELECT","true","billing","needs-port","docs/queries-sql.md:L828"
"ERROR_070_GR_NEMA_PODATAKA_ADELL_EXECUTE","DELETE","true","billing","needs-port","docs/queries-sql.md:L836"
"ERROR_071_RACUNI-RACUNISTAVKE-BEZ-RACUNA","SELECT","true","billing","needs-port","docs/queries-sql.md:L844"
"ERROR_071_RACUNI-RACUNISTAVKE-BEZ-RACUNA_EXECUTE","DELETE","true","billing","needs-port","docs/queries-sql.md:L852"
"ERROR_075_GK-RDOB-GRPSK","SELECT","true","ledger","needs-port","docs/queries-sql.md:L860"
"ERROR_081_RACUNI_SUME","SELECT","true","ledger","needs-port","docs/queries-sql.md:L869"
"ERROR_082_GK_2040","SELECT","true","ledger","needs-port","docs/queries-sql.md:L878"
"ERROR_082_GK_4350","SELECT","true","ledger","needs-port","docs/queries-sql.md:L887"
"ERROR_082_GK_4350_RDOB_KN","SELECT","true","banking","needs-port","docs/queries-sql.md:L896"
"ERROR_082_GK_4900","SELECT","true","ledger","needs-port","docs/queries-sql.md:L905"
"ERROR_082_GK_5590","SELECT","true","ledger","needs-port","docs/queries-sql.md:L914"
"ERROR_083_GRRAC-STAVKE-DOBRAC","SELECT","true","ledger","needs-port","docs/queries-sql.md:L923"
"ERROR_084_UPOREDO-083-082","SELECT","true","suppliers","needs-port","docs/queries-sql.md:L932"
"ERROR_085_SUME_GRUPARACUNA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L939"
"ERROR_101_KONTOTROSKA_NEPOSTOJI","SELECT","true","ledger","needs-port","docs/queries-sql.md:L946"
"ERROR_102_KONTOTROSKA_NEMAPARENT","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L954"
"ERROR_103_2040_IZVOD_NEMASTAVKUIZVODA","SELECT","true","banking","needs-port","docs/queries-sql.md:L962"
"ERROR_104_NALOG_RAVNOTEZA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L970"
"ERROR_901_A_NALOG_VISE_IZVODA","SELECT","true","banking","needs-port","docs/queries-sql.md:L979"
"ERROR_901_AB_NALOG_VISE_IZVODA_GK_STAVKI","SELECT","true","ledger","needs-port","docs/queries-sql.md:L988"
"ERROR_901_AC_NALOG_VISE_IZVODA_IZVODSTAVKI","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L996"
"ERROR_902_A_GK_STAVKA_BEZ_DATUMA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L1004"
"ERROR-IZVOD","SELECT","true","banking","needs-port","docs/queries-sql.md:L1012"
"ErrorIzvod-SumaNovStanjePrethodno-GK2410","SELECT","true","banking","needs-port","docs/queries-sql.md:L1021"
"EXPORT_001_LISTA_OBJEKATA_SA_KORISNICIMA","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1029"
"EXPORT_002_LISTA_KORISNIKA_EMAIL","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1038"
"EXPORT_003_PREBROJAVANJE","SELECT","false","master-data","needs-port","docs/queries-sql.md:L1047"
"EXPORT001 - Listing - SZ-PD-VL","SELECT","false","master-data","needs-port","docs/queries-sql.md:L1057"
"EXPORT002-ListingRacuna","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L1066"
"EXPORT002-ListingRacuna-KONTROLA-003","SELECT","false","billing","needs-port","docs/queries-sql.md:L1075"
"EXPORT003A-SumeStavkeRacunaKamata","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L1084"
"EXPORT003-SumeStavkeRacuna","SELECT","false","billing","needs-port","docs/queries-sql.md:L1094"
"Export004-SumeStavkeRacunaBenefiti","SELECT","false","billing","needs-port","docs/queries-sql.md:L1104"
"EXPORT005_Benefiti_All","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L1113"
"EXPORT006_SUMA-RACUNA","SELECT","false","billing","needs-port","docs/queries-sql.md:L1121"
"EXPORT007 - Listing - SZ-PD-VL - NEAKTIVNO","SELECT","false","master-data","needs-port","docs/queries-sql.md:L1130"
"EXPORT008-KontaktLista","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1139"
"Fin_Izvestaj_SZ_00","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1148"
"Fin_Izvestaj_SZ_00_PS_Y","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1158"
"Fin_Izvestaj_SZ_00_PSTS_Y","SELECT","false","other","needs-port","docs/queries-sql.md:L1168"
"Fin_Izvestaj_SZ_00_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1178"
"Fin_Izvestaj_SZ_01","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1188"
"Fin_Izvestaj_SZ_02","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1198"
"Fin_Izvestaj_SZ_02_0","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1206"
"Fin_Izvestaj_SZ_02_2","SELECT","false","other","needs-port","docs/queries-sql.md:L1214"
"Fin_Izvestaj_SZ_02_2_PS_YY","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1222"
"Fin_Izvestaj_SZ_02_2_PSTS_YY","SELECT","false","other","needs-port","docs/queries-sql.md:L1231"
"Fin_Izvestaj_SZ_02_sub0","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1241"
"Fin_Izvestaj_SZ_02_sub0_PS","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1250"
"Fin_Izvestaj_SZ_02_sub0_PS_YY","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1259"
"Fin_Izvestaj_SZ_02_sub1","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1270"
"Fin_Izvestaj_SZ_02_sub1_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1280"
"Fin_Izvestaj_SZ_02_sub1_PS_YY","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1290"
"Fin_Izvestaj_SZ_02_sub2","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1299"
"Fin_Izvestaj_SZ_02_sub2_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1309"
"Fin_Izvestaj_SZ_02_sub2_PS_YY","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1319"
"Fin_Izvestaj_SZ_02_sub3","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1329"
"Fin_Izvestaj_SZ_02_sub4","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1339"
"Fin_Izvestaj_SZ_02_sub4_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1348"
"Fin_Izvestaj_SZ_02_sub4_PS_YY","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1357"
"Fin_Izvestaj_SZ_02_sub5","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1366"
"Fin_Izvestaj_SZ_02_sub5_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1375"
"Fin_Izvestaj_SZ_02A","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1384"
"Fin_Izvestaj_SZ_02A_sub1","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1391"
"Fin_Izvestaj_SZ_03","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1401"
"Fin_Izvestaj_SZ_03_1","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1412"
"Fin_Izvestaj_SZ_03_1_PS","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1423"
"Fin_Izvestaj_SZ_03_1_PSTS_YY","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1434"
"Fin_Izvestaj_SZ_03_1_TS","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1443"
"Fin_Izvestaj_SZ_03_1_TSx","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1454"
"Fin_Izvestaj_SZ_03_DobavljacRacunZatvoren","SELECT","false","suppliers","needs-port","docs/queries-sql.md:L1465"
"Fin_Izvestaj_SZ_03_PS","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1475"
"Fin_Izvestaj_SZ_03_PS_GRP","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1486"
"Fin_Izvestaj_SZ_03_PSTSDOD","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1494"
"Fin_Izvestaj_SZ_03_SVE","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1504"
"Fin_Izvestaj_SZ_03_TS","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1514"
"Fin_Izvestaj_SZ_03_TS_DOD","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L1525"
"Fin_Izvestaj_SZ_04","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1536"
"Fin_Izvestaj_SZ_04_RR","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1543"
"Fin_Izvestaj_SZ_04_RR_PS","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1551"
"Fin_Izvestaj_SZ_04_RR_PS_GRP","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1559"
"Fin_Izvestaj_SZ_04_RR_PSTS_YY","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1568"
"Fin_Izvestaj_SZ_04_RR_TS","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1577"
"Fin_Izvestaj_SZ_04_sub1","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1585"
"Fin_Izvestaj_SZ_04_sub1_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1596"
"Fin_Izvestaj_SZ_04_sub1_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1607"
"Fin_Izvestaj_SZ_04_sub2","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1618"
"Fin_Izvestaj_SZ_04_sub2_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1629"
"Fin_Izvestaj_SZ_04_sub2_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1639"
"Fin_Izvestaj_SZ_04_VR","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1649"
"Fin_Izvestaj_SZ_04_VR_PS","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1657"
"Fin_Izvestaj_SZ_04_VR_PS_GRP","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1665"
"Fin_Izvestaj_SZ_04_VR_PSTS_YY","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1674"
"Fin_Izvestaj_SZ_04_VR_TS","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1683"
"Fin_Izvestaj_SZ_05","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1691"
"Fin_Izvestaj_SZ_06","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1701"
"Fin_Izvestaj_SZ_06_2_SUB1","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1710"
"Fin_Izvestaj_SZ_06_3","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1721"
"Fin_Izvestaj_SZ_06_3_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1729"
"Fin_Izvestaj_SZ_06_3_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1739"
"Fin_Izvestaj_SZ_06_3_TSPS_YYYY","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1747"
"Fin_Izvestaj_SZ_07_Stanari_NeRasporedjeno","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1756"
"Fin_Izvestaj_SZ_07_Stanari_NeRasporedjeno_PS","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1766"
"Fin_Izvestaj_SZ_08","SELECT","false","other","needs-port","docs/queries-sql.md:L1776"
"Fin_Izvestaj_SZ_08_sub1_procenat_naplate","SELECT","false","other","needs-port","docs/queries-sql.md:L1783"
"Fin_Izvestaj_SZ_08_sub2_procenat_naplate","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1791"
"Fin_Izvestaj_SZ_09","SELECT","false","other","needs-port","docs/queries-sql.md:L1800"
"Fin_Izvestaj_SZ_09_PS","SELECT","false","other","needs-port","docs/queries-sql.md:L1807"
"Fin_Izvestaj_SZ_09_PSTS_YY","SELECT","false","other","needs-port","docs/queries-sql.md:L1815"
"Fin_Izvestaj_SZ_09_sub1_4350","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1825"
"Fin_Izvestaj_SZ_09_sub1_4350_PS","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1834"
"Fin_Izvestaj_SZ_09_sub2_2040","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1843"
"Fin_Izvestaj_SZ_09_sub2_2040_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1853"
"Fin_Izvestaj_SZ_09_sub2_2040_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L1863"
"Fin_Izvestaj_SZ_11","SELECT","false","ledger","needs-port","docs/queries-sql.md:L1873"
"Find duplicates for Izvod","SELECT","false","banking","needs-port","docs/queries-sql.md:L1882"
"Find duplicates for Objekti","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1891"
"Find duplicates for Racun","SELECT","false","documents-email","needs-port","docs/queries-sql.md:L1900"
"Find duplicates for RacunObjekti","SELECT","false","billing","needs-port","docs/queries-sql.md:L1909"
"Find duplicates for RacunStavke","SELECT","false","suppliers","needs-port","docs/queries-sql.md:L1918"
"Find duplicates for Table2","SELECT","false","other","needs-port","docs/queries-sql.md:L1927"
"FIX_NULLS","UPDATE","false","billing","needs-port","docs/queries-sql.md:L1936"
"Fix_Rdob_Table5","UPDATE","false","ledger","needs-port","docs/queries-sql.md:L1943"
"Fix_RFob","SELECT","false","banking","needs-port","docs/queries-sql.md:L1949"
"Fix_SortRacun","UPDATE","false","billing","needs-port","docs/queries-sql.md:L1957"
"FIX_TEMP_KUPAC_PDBD","UPDATE","false","master-data","needs-port","docs/queries-sql.md:L1963"
"FIX001_Izvod_Rasknjizenje","UPDATE","false","banking","needs-port","docs/queries-sql.md:L1970"
"FIX002_RACUN_CUSTOM-NAPOMENA","UPDATE","false","billing","needs-port","docs/queries-sql.md:L1977"
"FIX003_ERROR_010-STAVKE-GK-DOBAVLJACI-BEZ-SK","UPDATE","false","banking","needs-port","docs/queries-sql.md:L1984"
"fltFormDobavljaci","SELECT","false","suppliers","blocked-by-missing-source","docs/queries-sql.md:L1991"
"fltFormRacuni","SELECT","false","billing","blocked-by-missing-source","docs/queries-sql.md:L2000"
"fltFormRacuniVR","SELECT","false","billing","blocked-by-missing-source","docs/queries-sql.md:L2009"
"fltMarkerList","SELECT","false","other","needs-port","docs/queries-sql.md:L2018"
"frmIzvestaj_Dobavljaci","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2026"
"frmIzvestaj_GK_Filter_001","SELECT","false","ledger","needs-port","docs/queries-sql.md:L2036"
"frmIzvestaj_GK_Filter_001_Crosstab","TRANSFORM","false","other","needs-port","docs/queries-sql.md:L2044"
"frmIzvestaj_Izvod","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L2054"
"frmIzvestaj_Izvod_grp","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L2064"
"frmIzvestaj_Objekti","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2074"
"frmIzvestaj_Stanari","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2083"
"frmIzvestaj_StanariBrCl","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L2093"
"frmIzvestaj_StanariStanje","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2102"
"frmIzvestaj_StanariStanje_Duguju","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L2113"
"frmIzvestajFilterGK","SELECT","false","reports-analysis","blocked-by-missing-source","docs/queries-sql.md:L2123"
"frmIzvestajFilterGK_PS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2131"
"frmIzvestajFilterGK_TS","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2139"
"frmIzvestajFilterGKNoSZ","SELECT","false","reports-analysis","needs-port","docs/queries-sql.md:L2147"
"GEN_R_001","INSERT","false","billing","needs-port","docs/queries-sql.md:L2155"
"GEN_R_002","UPDATE","false","billing","needs-port","docs/queries-sql.md:L2164"
